indent,operation,dom,dom id,relation,cod id,cod,unchanged,changed_props,reason,rank
______,SHARED,N20.Propithecus_candidus,543560,=,5786030,G.Propithecus_candidus,tip,,scientificName,species
______,SHARED,N20.Propithecus_perrieri,989338,=,5707425,G.Propithecus_perrieri,tip,,scientificName,species
______,A ONLY,N20.unclassified_Propithecus,2677806,,,,,,,
________,A ONLY,N20.Propithecus_sp.,39582,,,,,,,species
____,A ONLY,N20.Indri,34826,,,,,,,genus
______,SHARED,N20.Indri_indri,34827,=,2436432,G.Indri_indri,,number_of_children,canonicalName,species
________,B ONLY,,,,9923684,G.BOLD:ACU8069,,,,unranked
____,A ONLY,N20.Avahi,122245,,,,,,,genus
______,SHARED,N20.Avahi_laniger,122246,=,2436426,G.Avahi_laniger,,number_of_children,canonicalName,species
________,B ONLY,,,,10563384,G.BOLD:ACV6530,,,,unranked
________,B ONLY,,,,10120494,G.BOLD:ADC6865,,,,unranked
______,SHARED,N20.Avahi_occidentalis,132108,=,4267338,G.Avahi_occidentalis,tip,,canonicalName,species
______,SHARED,N20.Avahi_unicolor,402239,=,4267337,G.Avahi_unicolor,tip,,scientificName,species
______,SHARED,N20.Avahi_cleesei,402244,=,5786032,G.Avahi_cleesei,tip,,scientificName,species
______,SHARED,N20.Avahi_peyrierasi,1313323,=,5786031,G.Avahi_peyrierasi,tip,,scientificName,species
__,A ONLY (conflict),N20.Lepilemuridae,30614,><,798,G.Primates,,,G.Megaladapis is in the A taxon; B-sibling G.Hapalemur is not,order
__,SHARED,N20.Cheirogaleidae,30615,=,9419,G.Cheirogaleidae,,number_of_children; scientificName,cross-mrca =,family
____,SHARED,N20.Cheirogaleus,9459,=,2436450,G.Cheirogaleus,,number_of_children; scientificName,cross-mrca =,genus
______,SHARED,N20.Cheirogaleus_medius,9460,=,2436451,G.Cheirogaleus_medius,,number_of_children; scientificName,canonicalName,species
________,B ONLY,,,,10362363,G.BOLD:ADC8068,,,,unranked
______,SHARED,N20.Cheirogaleus_major,47177,=,2436452,G.Cheirogaleus_major,,number_of_children; scientificName,canonicalName,species
________,B ONLY,,,,10118071,G.BOLD:ADR4890,,,,unranked
______,SHARED,N20.Cheirogaleus_crossleyi,291259,=,4266968,G.Cheirogaleus_crossleyi,,number_of_children; scientificName,canonicalName,species
________,B ONLY,,,,10565826,G.BOLD:ADR6868,,,,unranked
______,SHARED,N20.Cheirogaleus_sibreei,752538,=,4266969,G.Cheirogaleus_sibreei,,number_of_children; scientificName,canonicalName,species
________,B ONLY,,,,9926097,G.BOLD:ADR4552,,,,unranked
______,SHARED,N20.Cheirogaleus_minusculus,867375,=,4266972,G.Cheirogaleus_minusculus,tip,,scientificName,species
______,SHARED,N20.Cheirogaleus_lavasoensis,1569974,=,7602069,G.Cheirogaleus_lavasoensis,tip,,scientificName,species
______,A ONLY,N20.Cheirogaleus_cf._medius_RW-2019,2563322,,,,,,,species
______,B ONLY,,,,9538844,G.Cheirogaleus_shethi,,,,species
______,B ONLY,,,,8650236,G.Cheirogaleus_andysabini,,,,species
______,B ONLY,,,,9181754,G.Cheirogaleus_smithii,,,,species
______,B ONLY,,,,8520511,G.Cheirogaleus_thomasi,,,,species
____,SHARED,N20.Microcebus,13149,=,2436446,G.Microcebus,,number_of_children; scientificName,cross-mrca =,genus
______,SHARED,N20.Microcebus_murinus,30608,=,2436447,G.Microcebus_murinus,,number_of_children,canonicalName,species
________,B ONLY,,,,10420279,G.BOLD:ADD0302,,,,unranked
______,SHARED,N20.Microcebus_ravelobensis,122231,=,4266976,G.Microcebus_ravelobensis,tip,,scientificName,species
______,SHARED,N20.Microcebus_rufus,122232,=,2436448,G.Microcebus_rufus,,number_of_children,canonicalName,species
________,B ONLY,,,,10112061,G.BOLD:ADR2903,,,,unranked
______,SHARED,N20.Microcebus_myoxinus,143283,=,4266979,G.Microcebus_myoxinus,,number_of_children,scientificName,species
________,B ONLY,,,,10659545,G.BOLD:ADR7317,,,,unranked
______,SHARED,N20.Microcebus_tavaratra,143351,=,4266975,G.Microcebus_tavaratra,,number_of_children,scientificName,species
________,B ONLY,,,,10507911,G.BOLD:ADR4257,,,,unranked
______,SHARED,N20.Microcebus_berthae,143352,=,4266980,G.Microcebus_berthae,,number_of_children,scientificName,species
________,B ONLY,,,,10356355,G.BOLD:ADR6764,,,,unranked
______,SHARED,N20.Microcebus_sambiranensis,143353,=,4266978,G.Microcebus_sambiranensis,,number_of_children,scientificName,species
________,B ONLY,,,,10175622,G.BOLD:ADR7917,,,,unranked
______,SHARED,N20.Microcebus_griseorufus,143354,=,4266977,G.Microcebus_griseorufus,,number_of_children,scientificName,species
________,B ONLY,,,,10019096,G.BOLD:ADR6761,,,,unranked
______,SHARED,N20.Microcebus_simmonsi,236272,=,5786016,G.Microcebus_simmonsi,,number_of_children,canonicalName,species
________,B ONLY,,,,10601678,G.BOLD:ADR7909,,,,unranked
______,SHARED,N20.Microcebus_mittermeieri,236274,=,5786011,G.Microcebus_mittermeieri,,number_of_children,canonicalName,species
________,B ONLY,,,,10571865,G.BOLD:ADR6762,,,,unranked
______,SHARED,N20.Microcebus_jollyae,236275,=,5786013,G.Microcebus_jollyae,,number_of_children,canonicalName,species
________,B ONLY,,,,9932062,G.BOLD:ADR6760,,,,unranked
______,SHARED,N20.Microcebus_lehilahytsara,343908,=,5786008,G.Microcebus_lehilahytsara,,number_of_children,canonicalName,species
________,B ONLY,,,,10082476,G.BOLD:ADR6766,,,,unranked
______,SHARED,N20.Microcebus_bongolavensis,412750,=,5786012,G.Microcebus_bongolavensis,tip,,canonicalName,species
______,SHARED,N20.Microcebus_danfossi,412751,=,5786010,G.Microcebus_danfossi,,number_of_children,canonicalName,species
________,B ONLY,,,,10326611,G.BOLD:ADR6765,,,,unranked
______,A ONLY,N20.Microcebus_lokobensis,412752,,,,,,,species
______,SHARED,N20.Microcebus_mamiratra,415757,=,5786014,G.Microcebus_mamiratra,,number_of_children,canonicalName,species
________,B ONLY,,,,9961642,G.BOLD:ADR6767,,,,unranked
______,SHARED,N20.Microcebus_macarthurii,548481,=,7868037,G.Microcebus_macarthurii,tip,,canonicalName,species
______,SHARED,N20.Microcebus_arnholdi,864580,=,8219027,G.Microcebus_arnholdi,,number_of_children; scientificName,canonicalName,species
________,B ONLY,,,,10263021,G.BOLD:ADR6338,,,,unranked
______,SHARED,N20.Microcebus_margotmarshae,864581,=,8235495,G.Microcebus_margotmarshae,,number_of_children; scientificName,canonicalName,species
________,B ONLY,,,,10205267,G.BOLD:ADR5717,,,,unranked
______,SHARED,N20.Microcebus_gerpi,1131379,=,7631341,G.Microcebus_gerpi,tip,scientificName,canonicalName,species
______,SHARED,N20.Microcebus_tanosi,1310123,=,8142656,G.Microcebus_tanosi,,number_of_children,scientificName,species
________,B ONLY,,,,10025027,G.BOLD:ADR7910,,,,unranked
______,SHARED,N20.Microcebus_marohita,1310124,=,8188054,G.Microcebus_marohita,tip,,scientificName,species
______,SHARED,N20.Microcebus_ganzhorni,2483760,=,9270709,G.Microcebus_ganzhorni,tip,scientificName,canonicalName,species
______,A ONLY,N20.unclassified_Microcebus,2630091,,,,,,,
________,A ONLY,N20.Microcebus_sp._EELHDZ_M98,270538,,,,,,,species
________,A ONLY,N20.Microcebus_sp._EELHDZ_TAD23,270540,,,,,,,species
________,A ONLY,N20.Microcebus_sp._EELHDZ_VEV33,270674,,,,,,,species
________,A ONLY,N20.Microcebus_sp._EELHDZ_VEV35,270675,,,,,,,species
________,A ONLY,N20.Microcebus_sp._ANT5.1,388736,,,,,,,species
________,A ONLY,N20.Microcebus_sp._Ambongabe,412758,,,,,,,species
________,A ONLY,N20.Microcebus_sp._Bora,412759,,,,,,,species
________,A ONLY,N20.Microcebus_sp._Mahajamba-Est,412760,,,,,,,species
________,A ONLY,N20.Microcebus_sp._Maroakata,412761,,,,,,,species
________,A ONLY,N20.Microcebus_sp._Antanosy,418100,,,,,,,species
________,A ONLY,N20.Microcebus_sp._Anjiahely,548482,,,,,,,species
________,A ONLY,N20.Microcebus_sp._DWW-2010a,764313,,,,,,,species
________,A ONLY,N20.Microcebus_sp._d'Ambre,1310125,,,,,,,species
________,A ONLY,N20.Microcebus_sp._3_GT-2019,2508170,,,,,,,species
________,A ONLY,N20.Microcebus_sp._south_Manambery,2683930,,,,,,,species
______,B ONLY,,,,9533337,G.Microcebus_boraha,,,,species
______,B ONLY,,,,9868596,G.BOLD:ADR6763,,,,unranked
______,B ONLY,,,,9476610,G.Microcebus_manitatra,,,,species
______,B ONLY,,,,9200690,G.Microcebus_kerimi,,,,species
____,SHARED,N20.Mirza,83691,=,4266973,G.Mirza,,number_of_children,cross-mrca =,genus
______,SHARED,N20.Mirza_coquereli,47180,=,4266974,G.Mirza_coquereli,,number_of_children,canonicalName,species
________,B ONLY,,,,10169660,G.BOLD:ADR2917,,,,unranked
______,SHARED,N20.Mirza_zaza,339999,=,5786007,G.Mirza_zaza,,number_of_children,canonicalName,species
________,B ONLY,,,,10513944,G.BOLD:ADR2919,,,,unranked
______,A ONLY,N20.unclassified_Mirza,2628182,,,,,,,
________,A ONLY,N20.Mirza_sp._001y03,415977,,,,,,,species
____,SHARED,N20.Phaner,261733,=,2436442,G.Phaner,,,cross-mrca =,genus
______,SHARED,N20.Phaner_furcifer,261734,=,2436443,G.Phaner_furcifer,,number_of_children,canonicalName,species
________,B ONLY,,,,5786019,G.Phaner_furcifer_electromontis,,,,subspecies
________,B ONLY,,,,5786020,G.Phaner_furcifer_furcifer,,,,subspecies
________,B ONLY,,,,5786017,G.Phaner_furcifer_pallescens,,,,subspecies
______,SHARED,N20.Phaner_pallescens,568393,=,4266965,G.Phaner_pallescens,,number_of_children,scientificName,species
________,B ONLY,,,,9874539,G.BOLD:ADR4549,,,,unranked
______,SHARED,N20.Phaner_electromontis,1313324,=,4266967,G.Phaner_electromontis,,number_of_children,scientificName,species
________,B ONLY,,,,10414282,G.BOLD:ADR6142,,,,unranked
______,SHARED,N20.Phaner_parienti,1313325,=,4266966,G.Phaner_parienti,,number_of_children,scientificName,species
________,B ONLY,,,,10269046,G.BOLD:ADR3557,,,,unranked
____,B ONLY,,,,4827348,G.Fendantia,,,,genus
______,B ONLY,,,,9417364,G.Caenopithecus_pygmaeus,,,,species
______,B ONLY,,,,4974576,G.Anchomomys_crocheti,,,,species
____,B ONLY,,,,9391699,G.?_murinus,,,,unranked
____,B ONLY,,,,9260129,G.?_pygmaeus#9260129,,,,unranked
____,B ONLY,,,,4827358,G.Chasselasia,,,,genus
______,B ONLY,,,,9363681,G.Chasselasia_eldredgei,,,,species
____,B ONLY (increased resolution),N20.Allocebus_trichotis,122248,>,2436444,G.Allocebus,,,cross-mrca <,genus
____,B ONLY,,,,4827339,G.Bugtilemur,,,,genus
______,B ONLY,,,,4974648,G.Bugtilemur_mathesoni,,,,species
__,SHARED,N20.Paleopropithecidae,1513476,=,10450123,G.Paleopropithecidae,,number_of_children,canonicalName,family
____,A ONLY,N20.Palaeopropithecus,322024,,,,,,,genus
______,SHARED,N20.Palaeopropithecus_ingens,1513477,=,5786534,G.Palaeopropithecus_ingens,,number_of_children; scientificName,canonicalName,species
________,B ONLY,,,,9839188,G.BOLD:ADC9359,,,,unranked
______,A ONLY,N20.Palaeopropithecus_maximus,1597978,,,,,,,species
______,A ONLY,N20.unclassified_Palaeopropithecus,2619300,,,,,,,
________,A ONLY,N20.Palaeopropithecus_sp._UA4466,322025,,,,,,,species
________,A ONLY,N20.Palaeopropithecus_sp._UA6184,322026,,,,,,,species
________,A ONLY,N20.Palaeopropithecus_sp._KPK-2005,322027,,,,,,,species
__,A ONLY (loss of resolution),N20.Lemuriformes,376915,<,798,G.Primates,,,G.Presbytis#7237060 is not in the A taxon,order
__,SHARED,N20.Lorisidae,9461,=,3239561,G.Lorisidae,,number_of_children,cross-mrca =,family
____,SHARED,N20.Loris,9467,=,2436625,G.Loris,,number_of_children,cross-mrca =,genus
______,A ONLY (conflict),N20.Loris_tardigradus,9468,><,2436625,G.Loris,,,G.Loris_lydekkerianus_nordicus is in the A taxon; B-sibling G.Loris_lydekkerianus_lydekkerianus is not,genus
______,A ONLY (conflict),N20.Loris_lydekkerianus,300163,><,2436625,G.Loris,,,G.Loris_lydekkerianus_lydekkerianus is in the A taxon; B-sibling G.Loris_lydekkerianus_nordicus is not,genus
______,B ONLY,,,,10657121,G.BOLD:ACH7382,,,,unranked
______,B ONLY,,,,9107469,G.Loris_lori,,,,species
________,B ONLY,,,,9060731,G.Loris_lori_lori,,,,subspecies
________,B ONLY,,,,8723245,G.Loris_lori_lydekkerianus,,,,subspecies
______,B ONLY (reorganization),N20.Loris,9467,><,7262073,G.Loris_lydekkerianus,,,N20.Loris_tardigradus_nordicus is in the A taxon; B-sibling N20.Loris_tardigradus_tardigradus is not,species
________,SHARED (moved from 9468),N20.Loris_tardigradus_nordicus,261740,=,5786046,G.Loris_lydekkerianus_nordicus,tip,canonicalName,,subspecies
________,SHARED (moved from 300163),N20.Loris_lydekkerianus_lydekkerianus,1738050,=,7262074,G.Loris_lydekkerianus_lydekkerianus,tip,,canonicalName,subspecies
________,B ONLY,,,,4267335,G.Loris_lydekkerianus_malabaricus,,,,subspecies
________,B ONLY,,,,4267336,G.Loris_lydekkerianus_grandis,,,,subspecies
________,B ONLY,,,,9729738,G.Loris_lydekkerianus_uva,,,,subspecies
______,B ONLY,,,,8941767,G.Loris_malabaricus,,,,species
______,B ONLY (reorganization),N20.Loris,9467,><,2436626,G.Loris_tardigradus,,,N20.Loris_tardigradus_tardigradus is in the A taxon; B-sibling N20.Loris_tardigradus_nordicus is not,species
________,SHARED (moved from 9468),N20.Loris_tardigradus_tardigradus,1738049,=,5786043,G.Loris_tardigradus_tardigradus,tip,,canonicalName,subspecies
________,SHARED (moved from 300163),N20.Loris_lydekkerianus_malabaricus,300166,=,5786042,G.Loris_tardigradus_malabaricus,tip,canonicalName,,subspecies
________,B ONLY,,,,5786047,G.Loris_tardigradus_nordicus,,,,subspecies
________,B ONLY,,,,5786037,G.Loris_tardigradus_grandis,,,,subspecies
________,B ONLY,,,,5786041,G.Loris_tardigradus_lydekkerianus,,,,subspecies
________,B ONLY,,,,10027454,G.BOLD:ADC7474,,,,unranked
________,B ONLY,,,,5786044,G.Loris_tardigradus_nycticeboides,,,,subspecies
________,B ONLY,,,,9773392,G.Loris_tardigradus_parvus,,,,subspecies
____,SHARED,N20.Nycticebus,9469,=,2436627,G.Nycticebus,,number_of_children,cross-mrca =,genus
______,SHARED,N20.Nycticebus_pygmaeus,101278,=,2436628,G.Nycticebus_pygmaeus,,number_of_children,scientificName,species
________,B ONLY,,,,10505473,G.BOLD:ADK0634,,,,unranked
______,SHARED,N20.Nycticebus_bengalensis,261741,=,4267329,G.Nycticebus_bengalensis,tip,scientificName,canonicalName,species
______,SHARED,N20.Nycticebus_menagensis,310932,=,5786051,G.Nycticebus_menagensis,tip,,scientificName,species
______,SHARED,N20.Nycticebus_javanicus,310934,=,5786064,G.Nycticebus_javanicus,tip,scientificName,canonicalName,species
______,A ONLY,N20.unclassified_Nycticebus,2646861,,,,,,,
________,A ONLY,N20.Nycticebus_sp.,108082,,,,,,,species
______,B ONLY,,,,9866157,G.BOLD:ADC8037,,,,unranked
______,B ONLY,,,,8086079,G.Nycticebus_kayan,,,,species
______,B ONLY,,,,5786054,G.Nycticebus_bancanus,,,,species
______,B ONLY,,,,5786052,G.Nycticebus_borneanus,,,,species
______,B ONLY,,,,8591027,G.Nycticebus_linglom,,,,species
______,B ONLY (increased resolution),N20.Nycticebus_coucang_coucang,310933,>,2436629,G.Nycticebus_coucang,,,cross-mrca <,species
________,B ONLY,,,,8955008,G.Nycticebus_coucang_bengalensis,,,,subspecies
________,B ONLY,,,,4267328,G.Nycticebus_coucang_menagensis#4267328,,,,subspecies
____,SHARED,N20.Arctocebus,261738,=,2436630,G.Arctocebus,,,cross-mrca =,genus
______,SHARED,N20.Arctocebus_calabarensis,261739,=,2436632,G.Arctocebus_calabarensis,,number_of_children,canonicalName,species
________,B ONLY,,,,9204824,G.Arctocebus_calabarensis_aureus,,,,subspecies
________,B ONLY,,,,8758016,G.Arctocebus_calabarensis_calabarensis,,,,subspecies
______,SHARED,N20.Arctocebus_aureus,300161,=,2436631,G.Arctocebus_aureus,tip,,scientificName,species
____,B ONLY,,,,9585574,G.?_potto,,,,unranked
____,B ONLY,,,,9375325,G.?_calabarensis,,,,unranked
____,B ONLY,,,,9493302,G.Namaloris,,,,genus
______,B ONLY,,,,9276532,G.Namaloris_rupestris,,,,species
____,B ONLY,,,,9420457,G.Laetolia,,,,genus
____,B ONLY,,,,4827457,G.Komba,,,,genus
______,B ONLY,,,,9280408,G.Komba_walkeri,,,,species
____,B ONLY (increased resolution),N20.Perodicticus_potto,9472,>,2436623,G.Perodicticus,,,cross-mrca <,genus
______,B ONLY,,,,7611227,G.Perodicticus_ibeanus,,,,species
________,SHARED (moved from 9472),N20.Perodicticus_potto_ibeanus,261737,=,9515736,G.Perodicticus_ibeanus_ibeanus,tip,canonicalName; scientificName,,subspecies
________,B ONLY,,,,9324635,G.Perodicticus_ibeanus_stockleyi,,,,subspecies
____,B ONLY,,,,4267326,G.Pseudopotto,,,,genus
______,B ONLY,,,,4267327,G.Pseudopotto_martini,,,,species
____,B ONLY,,,,4827449,G.Nycticeboides,,,,genus
____,B ONLY,,,,4827454,G.Progalago,,,,genus
______,B ONLY,,,,9689289,G.Mioeuoticus_kichotoi,,,,species
____,B ONLY,,,,9494206,G.Microloris,,,,genus
__,SHARED,N20.Galagidae,40297,=,9421,G.Galagonidae,,number_of_children; canonicalName,,family
____,A ONLY,N20.Galago,9462,,,,,,,genus
______,A ONLY,N20.Galago_senegalensis,9465,,,,,,,species
________,SHARED,N20.Galago_senegalensis_senegalensis,1738048,=,7262064,G.Galago_senegalensis_senegalensis,tip,,canonicalName,subspecies
________,SHARED,N20.Galago_senegalensis_braccatus,1738052,=,4267290,G.Galago_senegalensis_braccatus,tip,,scientificName,subspecies
______,SHARED,N20.Galago_moholi,30609,=,2436522,G.Galago_moholi,tip,scientificName,canonicalName,species
______,SHARED,N20.Galago_alleni,34830,=,7342635,G.Sciurocheirus_alleni,,number_of_children; canonicalName,,species
________,B ONLY,,,,7342636,G.Sciurocheirus_alleni_alleni,,,,subspecies
________,B ONLY,,,,5786499,G.Sciurocheirus_alleni_cameronensis,,,,subspecies
______,SHARED,N20.Galago_gallarum,111173,=,2436521,G.Galago_gallarum,tip,,scientificName,species
______,SHARED,N20.Galago_matschiei,135486,=,2436519,G.Galago_matschiei,tip,,scientificName,species
______,SHARED,N20.Galago_gabonensis,261731,=,5786501,G.Sciurocheirus_gabonensis,tip,canonicalName,,species
______,SHARED,N20.Galago_granti,261732,=,9496982,G.Paragalago_granti,tip,canonicalName,,species
______,A ONLY,N20.unclassified_Galago,2628747,,,,,,,
________,A ONLY,N20.Galago_sp.,9464,,,,,,,species
____,A ONLY,N20.Otolemur,30610,,,,,,,genus
______,A ONLY,N20.Otolemur_crassicaudatus,9463,,,,,,,species
______,A ONLY,N20.Otolemur_garnettii,30611,,,,,,,species
________,SHARED,N20.Otolemur_garnettii_garnettii,477174,=,7262067,G.Otolemur_garnettii_garnettii,tip,,canonicalName,subspecies
______,SHARED,N20.Otolemur_monteiri,337212,=,5786510,G.Otolemur_crassicaudatus_monteiri,,number_of_children; taxonRank; canonicalName; scientificName,,subspecies
________,A ONLY,N20.Otolemur_monteiri_monteiri,337213,,,,,,,subspecies
________,A ONLY,N20.Otolemur_monteiri_argentatus,337214,,,,,,,subspecies
____,A ONLY,N20.Galagoides,89671,,,,,,,genus
______,A ONLY,N20.Galagoides_demidoff,89672,,,,,,,species
________,SHARED,N20.Galagoides_demidoff_murinus,1738051,=,9054834,G.Galagoides_demidoff_murinus,tip,scientificName,canonicalName,subspecies
______,A ONLY,N20.Galagoides_zanzibaricus,111174,,,,,,,species
________,SHARED,N20.Galagoides_zanzibaricus_udzungwensis,1738046,=,9333853,G.Paragalago_zanzibaricus_udzungwensis,tip,canonicalName; scientificName,,subspecies
________,SHARED,N20.Galagoides_zanzibaricus_zanzibaricus,1738053,=,9525279,G.Paragalago_zanzibaricus_zanzibaricus,tip,canonicalName,,subspecies
______,A ONLY,N20.Galagoides_orinus,337210,,,,,,,species
______,SHARED,N20.Galagoides_thomasi,867376,=,4827709,G.Galagoides_thomasi,tip,,canonicalName,species
______,A ONLY,N20.Galagoides_cocos,1487601,,,,,,,species
______,SHARED,N20.Galagoides_rondoensis,1738047,=,9378402,G.Paragalago_rondoensis,tip,canonicalName,,species
____,A ONLY,N20.Euoticus,261735,,,,,,,genus
______,SHARED,N20.Euoticus_elegantulus,261736,=,2436514,G.Euoticus_elegantulus,tip,,canonicalName,species
____,A ONLY,N20.Paragalago,2604441,,,,,,,genus
______,SHARED,N20.Paragalago_cocos,2604442,=,9423182,G.Paragalago_cocos,tip,,scientificName,species
______,A ONLY,N20.Paragalago_zanzibaricus,2604443,,,,,,,species
____,B ONLY,,,,4827717,G.Saharagalago,,,,genus
______,B ONLY,,,,4974641,G.Saharagalago_misrensis,,,,species
____,B ONLY,,,,4827701,G.Wadilemur,,,,genus
______,B ONLY,,,,4974643,G.Wadilemur_elegans,,,,species
__,A ONLY (loss of resolution),N20.Lorisiformes,376917,<,798,G.Primates,,,G.Presbytis#7237060 is not in the A taxon,order
__,A ONLY (loss of resolution),N20.Strepsirrhini,376911,<,798,G.Primates,,,G.Presbytis#7237060 is not in the A taxon,order
__,SHARED,N20.Callitrichinae,9480,=,4827214,G.Callithricidae,,number_of_children; taxonRank; canonicalName,,family
____,A ONLY,N20.Callithrix#9481,9481,,,,,,,genus
______,A ONLY,N20.Callithrix#1965096,1965096,,,,,,,subgenus
________,SHARED,N20.Callithrix_jacchus,9483,=,5219542,G.Callithrix_jacchus,,number_of_children,canonicalName,species
__________,B ONLY,,,,8818520,G.Callithrix_jacchus_jacchus,,,,subspecies
__________,B ONLY,,,,8743587,G.Callithrix_jacchus_flaviceps,,,,subspecies
__________,B ONLY,,,,8990542,G.Callithrix_jacchus_penicillata,,,,subspecies
________,A ONLY,N20.Callithrix_sp.,9485,,,,,,,species
________,SHARED,N20.Callithrix_geoffroyi,52231,=,5219539,G.Callithrix_geoffroyi,tip,,canonicalName,species
________,SHARED,N20.Callithrix_aurita,57375,=,8827576,G.Callithrix_aurita,tip,,canonicalName,species
________,SHARED,N20.Callithrix_penicillata,57378,=,5219541,G.Callithrix_penicillata,tip,,canonicalName,species
________,A ONLY,N20.Callithrix_sp._DB-2003,217956,,,,,,,species
________,SHARED,N20.Callithrix_kuhlii,867363,=,5219538,G.Callithrix_kuhlii,tip,,scientificName,species
________,SHARED,N20.Callithrix_flaviceps,1346251,=,5219543,G.Callithrix_flaviceps,tip,,scientificName,species
________,A ONLY,N20.Callithrix_jacchus_x_penicillata,1476500,,,,,,,species
______,SHARED,N20.Cebuella,1965109,=,8214404,G.Cebuella,,number_of_children; taxonRank,canonicalName,genus
________,A ONLY,N20.Callithrix_pygmaea,9493,,,,,,,species
________,B ONLY,,,,9680321,G.Cebuella_niveiventris,,,,species
________,B ONLY,,,,4827382,G.Cebuella_pygmaea,,,,species
__________,B ONLY,,,,5786449,G.Cebuella_pygmaea_niveiventris,,,,subspecies
__________,B ONLY,,,,10210487,G.BOLD:ADC9053,,,,unranked
__________,B ONLY,,,,7342633,G.Cebuella_pygmaea_pygmaea,,,,subspecies
______,A ONLY,N20.Calibella,1965113,,,,,,,subgenus
________,SHARED,N20.Callithrix_humilis,666519,=,5786452,G.Mico_humilis,tip,canonicalName; scientificName,,species
____,A ONLY,N20.Saguinus,9486,,,,,,,genus
______,A ONLY,N20.Saguinus_mystax,9488,,,,,,,species
________,SHARED,N20.Saguinus_mystax_mystax,873069,=,7261988,G.Saguinus_mystax_mystax,tip,,canonicalName,subspecies
______,SHARED,N20.Saguinus_oedipus,9490,=,2436469,G.Saguinus_oedipus,,number_of_children,canonicalName,species
________,B ONLY,,,,10117290,G.BOLD:AAG6594,,,,unranked
______,A ONLY,N20.Saguinus_imperator,9491,,,,,,,species
________,SHARED,N20.Saguinus_imperator_subgrisescens,881951,=,4266888,G.Saguinus_imperator_subgrisescens,tip,scientificName,canonicalName,subspecies
______,A ONLY,N20.Saguinus_midas,30586,,,,,,,species
________,SHARED,N20.Saguinus_midas_midas,78354,=,8912099,G.Saguinus_midas_midas,tip,,canonicalName,subspecies
______,A ONLY,N20.Saguinus_bicolor,37588,,,,,,,species
________,SHARED,N20.Saguinus_bicolor_bicolor,37589,=,5786445,G.Saguinus_bicolor_bicolor,tip,,canonicalName,subspecies
______,SHARED,N20.Saguinus_geoffroyi,43778,=,2436466,G.Saguinus_geoffroyi,tip,,canonicalName,species
______,A ONLY,N20.Saguinus_labiatus,78454,,,,,,,species
________,SHARED,N20.Saguinus_labiatus_labiatus,873066,=,7261986,G.Saguinus_labiatus_labiatus,tip,,canonicalName,subspecies
______,SHARED,N20.Saguinus_leucopus,290597,=,2436476,G.Saguinus_leucopus,tip,,canonicalName,species
______,SHARED,N20.Saguinus_niger,356665,=,4266893,G.Saguinus_niger,tip,,canonicalName,species
